forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c
221,isu,wpc,1,t2,1,11.8,10.13,2.05,34.3
222,isu,wpc,1,t4,2,8,6.8870000000000005,3.02,40.9
223,isu,wpc,1,t6,3,8.1,7.304,3.02,34.5
224,isu,wpc,1,t0,4,13.1,12.995,2.61,42.2
225,isu,wpc,1,t7,5,10.3,6.811,3.09,34.4
226,isu,wpc,1,t5,6,7.800000000000001,10.203,3.24,40.9
227,isu,wpc,1,t3,7,10.7,10.098,2.87,39.5
228,isu,wpc,1,t1,8,8.5,8.492,2.88,43.1
229,isu,wpc,1,t9,9,12,10.069,3.09,39.4
230,isu,wpc,1,t8,10,20.4,16.738,3.42,41.2
231,isu,cr,1,t0,1,18.9,18.15,2.08,43.2
232,isu,cr,1,t5,2,18.6,14.501,2.62,42.5
233,isu,cr,1,t4,3,18.5,15.873,2.36,42.7
234,isu,cr,1,t3,4,18.2,16.88,NA,NA
235,isu,cr,1,t7,5,17.8,12.976,2.85,41.1
236,isu,cr,1,t9,6,19.2,13.792,2.96,43.8
237,isu,cr,1,t1,7,18.7,18.529,1.96,43.1
238,isu,cr,1,t6,8,19.4,14.851999999999999,2.42,38.95
239,isu,cr,1,t8,9,18.3,12.541,2.1,42.4
240,isu,cr,1,t2,10,19.2,18.115,1.81,42.4
241,isu,pcro,1,t7,1,17.9,15.144999999999998,2.7,28.4
242,isu,pcro,1,t9,2,17.6,12.293,3.56,41.8
243,isu,pcro,1,t4,3,18.1,15.768999999999997,3.91,43.7
244,isu,pcro,1,t2,4,18.2,17.638,3.29,43.9
245,isu,pcro,1,t1,5,18.4,18.204,3.57,43.6
246,isu,pcro,1,t3,6,18.6,16.527,3.8,43.6
247,isu,pcro,1,t5,7,18.3,13.839999999999998,4.16,42.9
248,isu,pcro,1,t8,8,18.3,13.777,3.85,35.4
249,isu,pcro,1,t0,9,19.4,19.138,3.84,45.3
250,isu,pcro,1,t6,10,18.6,13.236,4.65,42.7
251,isu,wpc,2,t4,1,18.4,16.603,NA,NA
252,isu,wpc,2,t3,2,19,17.843,NA,NA
253,isu,wpc,2,t1,3,19,18.368,2.83,45.3
254,isu,wpc,2,t9,4,18.7,15.955999999999998,2.7,34.4
