forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c,forage_mass_loss,forage_pct_remain,forage_prop_c,forage_prop_n,forage_c_g,forage_n_g
43,wiu,ar,1,t2,3,11.6,11.028,2.58,39.5,0.5719999999999992,95.0689655172414,0.395,0.0258,4.35606,0.2845224
44,wiu,ar,1,t1,4,11.8,11.988,2.69,40.2,-0.18799999999999883,101.59322033898303,0.402,0.0269,4.819176,0.32247719999999996
45,wiu,ar,1,t0,5,11.9,11.867,2.61,41.3,0.032999999999999474,99.72268907563026,0.413,0.026099999999999998,4.901071,0.3097287
46,wiu,ar,1,t9,6,12,7.891,2.71,37.7,4.109,65.75833333333333,0.377,0.0271,2.974907,0.21384609999999998
47,wiu,ar,1,t3,7,12.6,11.484,2.51,39.8,1.1159999999999997,91.14285714285715,0.39799999999999996,0.025099999999999997,4.570632,0.28824839999999996
48,wiu,ar,1,t7,8,12.2,8.735,2.6550000000000002,40.2,3.465,71.59836065573771,0.402,0.026550000000000004,3.51147,0.23191425000000002
49,wiu,ar,1,t6,9,12.9,9.856,2.64,36.9,3.0440000000000005,76.4031007751938,0.369,0.0264,3.636864,0.2601984
50,wiu,ar,1,t5,10,13.3,8.912,2.55,36,4.388,67.00751879699249,0.36,0.0255,3.20832,0.227256
51,wiu,wpc,2,t8,1,20.2,18.663999999999998,2.53,35.9,1.5360000000000014,92.39603960396039,0.359,0.0253,6.7003759999999986,0.47219919999999993
52,wiu,wpc,2,t2,2,20.1,20.05,2.49,40.2,0.05000000000000071,99.75124378109453,0.402,0.024900000000000002,8.0601,0.49924500000000005
53,wiu,wpc,2,t4,3,20.4,18.652,2.61,39.7,1.7479999999999976,91.43137254901961,0.397,0.026099999999999998,7.404844000000001,0.4868172
54,wiu,wpc,2,t6,4,20.6,18.705,2.61,34.7,1.8950000000000031,90.8009708737864,0.34700000000000003,0.026099999999999998,6.490635,0.4882004999999999
55,wiu,wpc,2,t0,5,20.7,20.373,NA,NA,0.3269999999999982,98.42028985507247,NA,NA,NA,NA
56,wiu,wpc,2,t1,6,20.1,20.405,2.58,41.8,-0.3049999999999997,101.51741293532339,0.418,0.0258,8.52929,0.5264490000000001
57,wiu,wpc,2,t3,7,20.2,20.968,2.07,36.3,-0.7680000000000007,103.8019801980198,0.363,0.0207,7.611384,0.43403759999999997
58,wiu,wpc,2,t7,8,21.2,18.065,2.37,37.6,3.134999999999998,85.21226415094341,0.376,0.023700000000000002,6.792440000000001,0.4281405000000001
59,wiu,wpc,2,NA,9,19.9,NA,2.27,30,NA,NA,0.3,0.0227,NA,NA
60,wiu,wpc,2,t9,10,21.3,18.373,2.29,34.8,2.9269999999999996,86.25821596244133,0.348,0.0229,6.393804,0.42074170000000005
61,wiu,cr,2,t4,1,15.499999999999998,13.272,2,41.4,2.227999999999998,85.62580645161292,0.414,0.02,5.4946079999999995,0.26544
62,wiu,cr,2,t9,2,15.6,12.61,2.51,33,2.99,80.83333333333333,0.33,0.025099999999999997,4.1613,0.31651099999999993
63,wiu,cr,2,t0,3,15.499999999999998,15.475,NA,NA,0.02499999999999858,99.83870967741937,NA,NA,NA,NA
64,wiu,cr,2,t1,4,15.299999999999997,14.991,1.64,42.3,0.3089999999999975,97.98039215686276,0.423,0.016399999999999998,6.341193,0.24585239999999997
65,wiu,cr,2,t2,5,15.6,15.234,1.7,42.5,0.36599999999999966,97.65384615384616,0.425,0.017,6.47445,0.25897800000000004
66,wiu,cr,2,t7,6,15.6,12.601,2.02,39.8,2.9989999999999988,80.77564102564104,0.39799999999999996,0.0202,5.015198,0.2545402
67,wiu,cr,2,t5,7,15.499999999999998,12.646,1.84,43.3,2.8539999999999974,81.58709677419357,0.433,0.0184,5.4757180000000005,0.23268640000000002
68,wiu,cr,2,t3,8,15.399999999999997,14.495,1.98,42,0.9049999999999976,94.12337662337664,0.42,0.019799999999999998,6.087899999999999,0.28700099999999995
69,wiu,cr,2,t8,9,14.499999999999998,11.159,2.37,40.5,3.3409999999999975,76.95862068965519,0.405,0.023700000000000002,4.519395,0.26446830000000005
70,wiu,cr,2,t6,10,15.499999999999998,12.497,2.125,41.6,3.0029999999999983,80.62580645161292,0.41600000000000004,0.02125,5.198752000000001,0.26556125
71,wiu,pcro,2,t8,1,17.4,14.450999999999997,2.78,40.7,2.9490000000000016,83.05172413793103,0.40700000000000003,0.0278,5.881556999999999,0.40173779999999987
72,wiu,pcro,2,t5,2,16.799999999999997,14.721,2.79,38.4,2.078999999999997,87.62500000000001,0.384,0.0279,5.652864,0.4107159
73,wiu,pcro,2,t4,3,16.799999999999997,13.895999999999997,3.06,40,2.904,82.71428571428571,0.4,0.030600000000000002,5.558399999999999,0.4252176
74,wiu,pcro,2,t9,4,16.5,15.006999999999998,2.49,30.3,1.493000000000002,90.95151515151514,0.303,0.024900000000000002,4.547120999999999,0.37367429999999996
75,wiu,pcro,2,t1,5,17.099999999999998,17.304,2.76,42.3,-0.20400000000000063,101.19298245614034,0.423,0.0276,7.319591999999999,0.47759039999999997
76,wiu,pcro,2,t7,6,16.7,15.801999999999998,NA,NA,0.8980000000000015,94.62275449101796,NA,NA,NA,NA
