bag_no,location,crop,block,sample_time,forage_initial_drywt_g,forage_final_drywt_g,tea_id,tea_final_drywt_g,tea_initial_drywt_g
173,wiu,cr,4,t4,19.5,16.744999999999997,190,1.166,2
174,wiu,cr,4,t3,19.7,18.081,187,1.484,2
175,wiu,cr,4,t9,19.5,15.135999999999997,181,1.048,2
176,wiu,cr,4,t0,19.7,19.499,182,2.075,2.1
177,wiu,cr,4,t1,19.7,19.473,183,1.935,2
178,wiu,cr,4,t7,19.7,14.737999999999998,188,1.179,2.1
179,wiu,cr,4,t8,19.9,15.403999999999998,185,1.157,2.1
180,wiu,cr,4,t6,20.4,15.841,184,1.149,2.1
181,wiu,gpc,4,t3,14.499999999999998,13.982999999999999,193,1.639,2
182,wiu,gpc,4,t4,14.699999999999998,12.817,191,1.381,2
183,wiu,gpc,4,t6,14.899999999999997,11.597,199,1.423,2.1
184,wiu,gpc,4,t1,14.999999999999998,15.210999999999997,197,2.215,2.3
185,wiu,gpc,4,t8,15.699999999999998,10.921,196,1.487,2.1
186,wiu,gpc,4,t0,15.499999999999998,15.432999999999998,195,2.065,2.1
187,wiu,gpc,4,t7,14.899999999999997,11.637,198,1.44,2.2
188,wiu,gpc,4,t2,15.399999999999997,15.388999999999998,200,1.803,2
190,wiu,gpc,4,t5,16.5,12.431,194,0.742,2.2
191,wiu,pcro,4,t0,17.1,16.115,135,1.99,2.1
192,wiu,pcro,4,t8,16.6,11.812,179,1.43,NA
193,wiu,pcro,4,t4,16.7,14.100999999999997,171,1.542,2
194,wiu,pcro,4,t6,16.9,12.351,180,1.546,NA
195,wiu,pcro,4,t1,16.9,17.177,173,2.003,2
196,wiu,pcro,4,t9,16.7,11.707,172,1.463,2
197,wiu,pcro,4,t7,16.9,14.267999999999999,176,1.793,2
198,wiu,pcro,4,t3,17.1,15.702999999999998,178,1.734,2.1
199,wiu,pcro,4,t5,16.8,13.421,161,1.396,2.2
200,wiu,pcro,4,t2,17.4,16.859,61,2.067,2.2
201,isu,ar,1,t6,21.7,15.222999999999999,112,1.217,2.1
202,isu,ar,1,t3,17.999999999999996,18.227999999999998,204,1.576,2.1
203,isu,ar,1,t0,21.999999999999996,21.919999999999998,207,2.104,2.1
204,isu,ar,1,t7,21.9,15.796999999999997,205,1.162,2.1
207,isu,ar,1,t2,18.9,18.770999999999997,202,2.009,2.1
208,isu,ar,1,t8,21.999999999999996,15.009999999999998,206,1.209,2.1
209,isu,ar,1,t5,20.499999999999996,17.616999999999997,210,1.38,2.1
210,isu,ar,1,t1,18.4,18.403999999999996,203,2.008,2.2
211,isu,gpc,1,t0,12.9,12.776,220,1.994,2.1
212,isu,gpc,1,t9,16.3,12.889,215,1.16,2.1
213,isu,gpc,1,t5,12.6,11.665,214,1.442,2.1
214,isu,gpc,1,t8,12.7,11.602,218,1.626,2.1
215,isu,gpc,1,t1,16.8,16.732,213,2.042,2.1
216,isu,gpc,1,t2,19.5,19.154,212,1.91,2.1
217,isu,gpc,1,t7,15.6,16.974,216,1.206,2.2
218,isu,gpc,1,t3,20,18.672,217,1.498,2.1
219,isu,gpc,1,t6,19.6,16.412,209,1.238,2.1
220,isu,gpc,1,t4,14.299999999999999,14.016999999999998,219,1.571,2.1
221,isu,wpc,1,t2,11.8,10.13,226,2.037,2.2
222,isu,wpc,1,t4,8,6.8870000000000005,225,1.571,2.1
223,isu,wpc,1,t6,8.1,7.304,222,1.465,2.1
224,isu,wpc,1,t0,13.1,12.995,229,1.976,2
225,isu,wpc,1,t7,10.3,6.811,221,1.781,2.1
227,isu,wpc,1,t3,10.7,10.098,228,1.718,2.1
228,isu,wpc,1,t1,8.5,8.492,223,2.197,2.3
229,isu,wpc,1,t9,12,10.069,230,1.383,2.1
230,isu,wpc,1,t8,20.4,16.738,229,1.337,2
231,isu,cr,1,t0,18.9,18.15,236,2.023,2.1
232,isu,cr,1,t5,18.6,14.501,232,1.249,2.1
233,isu,cr,1,t4,18.5,15.873,238,1.53,2.1
234,isu,cr,1,t3,18.2,16.88,237,1.727,2.2
235,isu,cr,1,t7,17.8,12.976,239,1.162,2
236,isu,cr,1,t9,19.2,13.792,240,1.258,2.1
237,isu,cr,1,t1,18.7,18.529,239,1.996,2
238,isu,cr,1,t6,19.4,14.851999999999999,233,1.248,2.1
239,isu,cr,1,t8,18.3,12.541,235,1.074,2
240,isu,cr,1,t2,19.2,18.115,231,1.965,2.1
242,isu,pcro,1,t9,17.6,12.293,296,1.214,2.1
243,isu,pcro,1,t4,18.1,15.768999999999997,248,1.481,2.2
244,isu,pcro,1,t2,18.2,17.638,244,2.016,2.1
245,isu,pcro,1,t1,18.4,18.204,249,2.086,2.1
246,isu,pcro,1,t3,18.6,16.527,247,1.709,2.1
247,isu,pcro,1,t5,18.3,13.839999999999998,245,1.292,2
248,isu,pcro,1,t8,18.3,13.777,242,1.897,2.1
249,isu,pcro,1,t0,19.4,19.138,293,1.983,2.1
251,isu,wpc,2,t4,18.4,16.603,251,1.678,2.2
252,isu,wpc,2,t3,19,17.843,253,1.795,2.1
253,isu,wpc,2,t1,19,18.368,250,2.228,2
255,isu,wpc,2,t8,18.4,16.427,260,2.179,2.3
256,isu,wpc,2,t2,18.4,17.626,12,2.014,2
258,isu,wpc,2,t5,19,17.289,251,1.903,2.2
259,isu,wpc,2,t0,18.3,17.683,252,2.399,2.5
260,isu,wpc,2,t6,18.8,16.751,267,1.637,2.1
261,isu,cr,2,t1,16.9,16.772999999999996,267,2.028,2.1
262,isu,cr,2,t6,17.299999999999997,13.171,261,1.285,2.2
263,isu,cr,2,t2,19.2,18.733999999999998,224,1.941,2.1
265,isu,cr,2,t4,20.2,18.049,263,1.463,2.2
268,isu,cr,2,t5,22.7,18.671999999999997,1,1.27,2
269,isu,cr,2,t3,20.599999999999998,18.198999999999998,208,1.814,2.2
270,isu,cr,2,t0,22.499999999999996,22.075,265,2.008,2.1
272,isu,pcro,2,t3,17.5,15.697999999999997,280,1.669,2.1
273,isu,pcro,2,t7,17.7,12.157,272,1.732,2
275,isu,pcro,2,t4,18.8,15.671999999999999,276,1.388,2.1
276,isu,pcro,2,t6,18.6,14.629999999999997,219,1.571,2.1
277,isu,pcro,2,t9,18.6,14.144999999999998,275,1.627,2.3
278,isu,pcro,2,t2,18.8,18.217,277,2.276,2.5
279,isu,pcro,2,t5,17.6,14.800999999999997,273,1.461,2.2
280,isu,pcro,2,t8,19,11.15,278,1.475,2.3
282,isu,ar,2,t3,23.099999999999998,21.130999999999997,288,1.65,2.1
284,isu,ar,2,t6,21.499999999999996,15.848999999999997,289,2.317,2.4
285,isu,ar,2,t2,21.999999999999996,20.587999999999997,210,1.95,2.1
286,isu,ar,2,t1,20.9,19.011999999999997,282,2.222,2.3
288,isu,ar,2,t5,18.999999999999996,17.476,283,1.428,2.1
289,isu,ar,2,t7,21.599999999999998,14.454999999999998,287,1.398,2.1
291,isu,gpc,2,t5,2.4000000000000004,2.3740000000000006,298,1.498,2
293,isu,gpc,2,t2,8.7,8.329,300,2.078,2.3
295,isu,gpc,2,t3,8.2,7.598,202,1.746,2.1
296,isu,gpc,2,t9,9.100000000000001,7.652,271,1.758,2.2
298,isu,gpc,2,t9,3.8,3.0280000000000005,291,1.632,2.3
299,isu,gpc,2,t1,9.100000000000001,8.794,296,1.966,2.1
300,isu,gpc,2,t4,8.600000000000001,7.680000000000001,251,1.626,2.2
301,isu,gpc,3,t4,14.1,12.074,310,1.589,2.1
302,isu,gpc,3,t7,13.5,10.925,301,1.253,2.1
303,isu,gpc,3,t5,13.999999999999998,11.478,302,1.231,2.1
304,isu,gpc,3,t9,14.199999999999998,9.527,309,1.252,2
305,isu,gpc,3,t0,13.999999999999998,13.445,107,2.136,2.4
306,isu,gpc,3,t6,13.999999999999998,10.843,301,1.498,2.1
307,isu,gpc,3,t3,13.6,12.327,303,1.68,2.1
308,isu,gpc,3,t8,13.999999999999998,11.618,305,1.314,2.3
309,isu,gpc,3,t2,14,12.841000000000001,306,1.873,2
310,isu,gpc,3,t1,14.399999999999997,13.917999999999997,308,1.917,2.2
311,isu,ar,3,t6,16.099999999999998,14.299,318,1.154,2.2
312,isu,ar,3,t4,20.9,19.008999999999997,312,1.475,2.1
314,isu,ar,3,t2,18.4,18.273999999999997,311,1.87,2
315,isu,ar,3,t7,20.9,17.691,217,1.274,2.1
316,isu,ar,3,t1,18.999999999999996,18.921,319,2.049,2.1
318,isu,ar,3,t9,18.099999999999998,15.344999999999999,314,1.18,2.1
319,isu,ar,3,t3,20.4,18.926,320,1.62,2.1
320,isu,ar,3,t5,19.8,17.455,316,1.419,2.2
321,isu,pcro,3,t8,18,12.467,329,1.497,2.3
322,isu,pcro,3,t4,18,13.786,324,1.506,2
323,isu,pcro,3,t1,18.7,18.823,322,2.023,2.1
324,isu,pcro,3,t0,18.7,18.782,325,2.141,2.2
325,isu,pcro,3,t3,18.6,17.162,328,1.489,2.1
326,isu,pcro,3,t7,18,11.651,327,1.214,2.1
327,isu,pcro,3,t2,17.9,17.428,328,1.985,2.1
328,isu,pcro,3,t9,18.1,13.28,323,1.619,2.3
329,isu,pcro,3,t6,17.9,13.981,321,1.388,2.3
330,isu,pcro,3,t5,18.3,14.925999999999997,330,1.463,2.1
331,isu,wpc,3,t2,8.6,8.241,333,1.995,2.1
332,isu,wpc,3,t7,7.9,7.446999999999999,335,1.696,2.2
333,isu,wpc,3,t3,8.1,7.502000000000001,334,1.63,2
334,isu,wpc,3,t1,7.1,6.992000000000001,338,1.975,2.1
335,isu,wpc,3,t0,8.1,7.949,337,2.107,2.2
336,isu,wpc,3,t6,8.6,7.829000000000001,331,1.743,2.1
337,isu,wpc,3,t5,8,6.98,339,1.568,2.2
338,isu,wpc,3,t9,6.5,5.946999999999999,340,1.446,2
339,isu,wpc,3,t8,7.4,5.869999999999999,336,1.36,2
340,isu,wpc,3,t4,7.699999999999999,6.960000000000001,232,1.708,2.1
342,isu,cr,3,t4,21.1,17.846,347,1.365,2.1
343,isu,cr,3,t3,21,18.191,343,1.338,2.2
344,isu,cr,3,t1,18.4,18.043,348,1.963,2
345,isu,cr,3,t5,18.1,15.835999999999997,341,1.195,2.2
347,isu,cr,3,t7,17.7,18.361,289,1.605,2.4
348,isu,cr,3,t6,18.6,17.792,345,1.121,2.1
349,isu,cr,3,t0,16.8,16.463,342,2.028,2.1
350,isu,cr,3,t2,20,19.324,349,1.979,2.1
351,isu,pcro,4,t7,13.999999999999998,9.738,258,1.2,2.2
352,isu,pcro,4,t9,13.3,9.847,253,1.236,2.1
353,isu,pcro,4,t1,13.1,13.041,237,1.969,2.2
354,isu,pcro,4,t2,13.899999999999997,13.348,254,1.946,2.1
355,isu,pcro,4,t4,13.999999999999998,11.706,260,1.933,2.3
356,isu,pcro,4,t3,13.2,11.047,152,1.47,2.2
357,isu,pcro,4,t5,13.899999999999997,10.322,255,1.608,2
358,isu,pcro,4,t6,14.1,10.29,256,1.432,2.3
359,isu,pcro,4,t0,14.1,13.985999999999999,259,2.211,2.1
360,isu,pcro,4,t8,14.299999999999999,9.409,252,1.354,2.5
361,isu,cr,4,t6,19.8,15.993999999999998,262,1.213,2.3
362,isu,cr,4,t1,19.3,19.048,270,2.064,2.1
363,isu,cr,4,t8,20,16.287,262,1.128,2.3
364,isu,cr,4,t4,19.7,17.658,263,1.366,2.2
365,isu,cr,4,t0,20.1,19.41,265,2.003,2.1
366,isu,cr,4,t3,20,18.819,268,1.748,2.4
367,isu,cr,4,t2,20.2,19.616,364,1.907,2
368,isu,cr,4,t9,18.7,14.509,302,1.238,2.1
369,isu,cr,4,t7,20.1,15.661,269,1.109,2.2
370,isu,cr,4,t5,18.4,15.572999999999999,261,1.356,2.2
371,isu,wpc,4,t1,20.9,20.801,280,2.109,2.1
372,isu,wpc,4,t6,21.2,19.154999999999998,277,1.769,2.5
373,isu,wpc,4,t5,20.9,18.459,276,1.479,2.1
374,isu,wpc,4,t2,21.499999999999996,20.7,274,1.952,2.1
375,isu,wpc,4,t4,20.999999999999996,19.782999999999998,272,1.514,2
376,isu,wpc,4,t0,20.799999999999997,20.691999999999997,278,2.164,2.3
377,isu,wpc,4,t9,21.099999999999998,18.058999999999997,273,1.571,2.2
378,isu,wpc,4,t8,21.2,17.840999999999998,271,1.405,2.2
379,isu,wpc,4,t3,21.599999999999998,20.377,275,1.723,2.3
380,isu,wpc,4,t7,21.299999999999997,16.996999999999996,287,1.373,2.1
381,isu,gpc,4,t8,19.2,18.036,281,1.282,2.2
382,isu,gpc,4,t9,18.1,16.933,285,1.582,2.1
383,isu,gpc,4,t1,18.3,18.033,286,2.223,2.2
384,isu,gpc,4,t5,19.2,17.858,284,1.641,2.3
386,isu,gpc,4,t6,22.4,21.354,282,1.535,2.3
387,isu,gpc,4,t7,19.8,18.151,287,1.718,2.1
388,isu,gpc,4,t2,19.5,19.461,286,1.823,2.2
389,isu,gpc,4,t4,18.2,16.672,283,1.479,2.1
390,isu,gpc,4,t0,20.4,20.212,290,2.17,2.1
391,isu,ar,4,t0,20.8,20.711,294,2.099,2.4
392,isu,ar,4,t7,20.6,16.042,299,1.181,2.2
393,isu,ar,4,t2,20.5,20.321,217,1.802,2.1
395,isu,ar,4,t9,21,15.972999999999997,295,1.318,2.3
396,isu,ar,4,t4,21.3,19.096,271,1.663,2.2
397,isu,ar,4,t3,20.8,19.266,293,1.75,2.1
398,isu,ar,4,t6,20.7,16.44,292,1.291,2.1
399,isu,ar,4,t5,20.8,17.943,298,1.416,2
400,isu,ar,4,t8,20.8,16.93,300,1.664,2.3
