location,crop,block,days,forage_initial_drywt_g,forage_final_drywt_g,forage_pct_n,forage_pct_c,forage_t0_c_g,forage_t0_n_g,forage_collected_c_g,forage_collected_n_g,forage_pct_remain,forage_pct_c_remain,forage_pct_n_remain,tea_initial_drywt_g,tea_final_drywt_g,tea_pct_n,tea_pct_c,tea_t0_c_g,tea_t0_n_g,tea_collected_c_g,tea_collected_n_g,tea_pct_remain,tea_pct_c_remain,tea_pct_n_remain
ISU,CR,1,25,17.8,12.976,2.85,41.1,7.658450000000001,0.35600000000000004,5.333136,0.36332800000000004,72.899,69.63727647239322,102.05842696629213,2,1.162,3.98,43.3,0.963,0.0745,0.503146,0.04648,58.099999999999994,52.24776739356179,62.389261744966454
ISU,CR,1,35,19.2,13.792000000000002,2.96,43.8,8.2608,0.384,6.040896000000001,0.41376,71.833,73.1272515979082,107.75000000000001,2.1,1.258,4.58,46.3,1.01115,0.078225,0.582454,0.057868,59.904761904761905,57.60312515452702,73.9763502716523
ISU,CR,1,4,18.7,18.529,1.96,43.1,8.045675,0.374,7.985999,0.37058,99.086,99.25828473061614,99.08556149732621,2,1.996,3.78,48.7,0.963,0.0745,0.972052,0.075848,99.8,100.93997923156803,101.80939597315437
ISU,CR,1,20,19.4,14.852,2.42,39,8.34685,0.38799999999999996,5.792280000000001,0.35644800000000004,76.557,69.39480163175331,91.86804123711342,2.1,1.248,4.18,44.1,1.01115,0.078225,0.550368,0.052416000000000004,59.42857142857143,54.429906542056074,67.00671140939598
ISU,CR,1,30,18.3,12.541,2.1,42.4,7.873575000000001,0.36600000000000005,5.317384,0.263361,68.53,67.53455704683068,71.95655737704918,2,1.074,4.4,44.5,0.963,0.0745,0.47793,0.047256,53.7,49.62928348909658,63.43087248322148
ISU,CR,1,6,19.2,18.115,1.81,42.4,8.2608,0.384,7.680759999999999,0.32606999999999997,94.349,92.9784040286655,84.91406249999999,2.1,1.965,NA,NA,1.01115,0.078225,NA,NA,93.57142857142857,NA,NA
ISU,PCRO,1,25,17.9,15.145,2.7,28.4,8.037099999999999,0.756275,4.30118,0.408915,84.609,53.51656692090431,54.06961753330468,2.2,NA,NA,NA,1.0406,0.0792,NA,NA,NA,NA,NA
ISU,PCRO,1,35,17.6,12.293,3.56,41.8,7.902400000000001,0.7436000000000001,5.1384739999999995,0.44254799999999994,69.847,65.02422048997771,59.51425497579341,2.1,1.214,0.498,3.97,0.9933,0.0756,0.04856,0.00607,57.80952380952381,4.888754656196516,8.029100529100528
ISU,PCRO,1,12,18.1,15.768999999999998,3.91,43.7,8.126900000000001,0.7647250000000001,6.891052999999999,0.614991,87.122,84.79313145233728,80.41988950276242,2.2,1.481,4.84,48,1.0406,0.0792,0.7108800000000001,0.07108800000000001,67.31818181818183,68.31443398039593,89.75757575757576
ISU,PCRO,1,6,18.2,17.638,3.29,43.9,8.1718,0.76895,7.743082000000001,0.5820540000000001,96.912,94.75368951760936,75.69464854671956,2.1,2.016,3.71,47.9,0.9933,0.0756,0.965664,0.07459199999999999,96,97.21775898520085,98.66666666666666
ISU,PCRO,1,4,18.4,18.204,3.57,43.6,8.2616,0.7774,7.9369440000000004,0.6553439999999999,98.935,96.07030115231917,84.29945973758683,2.1,2.086,3.89,48.3,0.9933,0.0756,1.0075379999999998,0.081354,99.33333333333331,101.43340380549681,107.6111111111111
ISU,PCRO,1,8,18.6,16.527,3.8,43.6,8.351400000000002,0.7858500000000002,7.2057720000000005,0.628026,88.855,86.28220418133485,79.9167780110708,2.1,1.709,4.25,45.4,0.9933,0.0756,0.7758860000000001,0.073487,81.38095238095238,78.11195006543845,97.20502645502646
ISU,PCRO,1,16,18.3,13.84,4.16,42.9,8.216700000000001,0.7731750000000001,5.93736,0.58128,75.628,72.25966628938623,75.18090988456689,2,1.292,4.81,44.5,0.946,0.072,0.57494,0.062016,64.60000000000001,60.77589852008457,86.13333333333334
ISU,PCRO,1,30,18.3,13.777,3.85,35.4,8.216700000000001,0.7731750000000001,4.877058,0.5235259999999999,75.284,59.35543466355105,67.71119086882011,2.1,1.897,2.43,23.4,0.9933,0.0756,0.443898,0.045528,90.33333333333333,44.68921775898521,60.22222222222222
ISU,PCRO,1,0,19.4,19.138,3.84,45.3,8.7106,0.81965,8.669514000000001,0.727244,98.649,99.52832181480038,88.72616360641737,2,1.983,3.74,48.6,0.946,0.072,0.963738,0.073371,99.15,101.87505285412261,101.90416666666668
ISU,PCRO,1,20,18.6,13.236,4.65,42.7,8.351400000000002,0.7858500000000002,5.651772,0.622092,71.161,67.67454558517134,79.16167207482341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISU,WPC,2,12,18.4,16.603,NA,NA,7.9441999999999995,0.49219999999999997,NA,NA,90.234,NA,NA,2.3,1.678,NA,NA,1.11435,0.096025,NA,NA,72.95652173913044,NA,NA
ISU,WPC,2,8,19,17.843,NA,NA,8.20325,0.50825,NA,NA,93.911,NA,NA,2.2,1.795,NA,NA,1.0659,0.09185000000000001,NA,NA,81.59090909090908,NA,NA
ISU,WPC,2,4,19,18.368,2.83,45.3,8.20325,0.50825,8.320704,0.514304,96.674,101.43179837259622,101.19114608952286,2,2.228,3.83,48.9,0.969,0.0835,1.0894920000000001,0.084664,111.4,112.43467492260064,101.39401197604789
ISU,WPC,2,35,18.7,15.956,2.7,34.4,8.073725,0.5002249999999999,5.4888639999999995,0.430812,85.326,67.98428234798683,86.12364436003799,2.2,1.747,3.34,30.8,1.0659,0.09185000000000001,0.538076,0.05765100000000001,79.4090909090909,50.48090815273477,62.766467065868255
ISU,WPC,2,30,18.4,16.427,2.41,32.9,7.9441999999999995,0.49219999999999997,5.404483,0.394248,89.277,68.03055059036782,80.09914668833808,NA,2.179,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISU,WPC,2,6,18.4,17.626,2.48,44,7.9441999999999995,0.49219999999999997,7.755440000000001,0.44065000000000004,95.793,97.62392689005817,89.52661519707438,NA,2.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISU,WPC,2,25,18.6,16.555,3.05,35.3,8.030550000000002,0.49755000000000005,5.843915,0.49665,89.005,72.77104307924114,99.81911365691889,2.2,1.983,2.06,19.3,1.0659,0.09185000000000001,0.38271900000000003,0.041643000000000006,90.13636363636364,35.905713481564874,45.3380511703865
