location,crop,forage_id,tea_id,block,forage_bag_wt_g,forage_initial_drywt_g,staple_weight,sample_time,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
WIU,GPC,102,108,3,2.4,15,0.1,t7,14.364999999999998,NA,2.1,2.31,32.3,1.87,9.38,25
WIU,GPC,103,109,3,2.4,15.899999999999999,0.1,t4,15.468,1.826,2.2999999999999998,2.34,36.7,3.46,38.3,12
WIU,GPC,104,102,3,2.4,15.5,0.1,t3,14.658999999999999,1.947,2.2000000000000002,2.13,42,NA,NA,8
WIU,GPC,105,197,3,2.4,15.100000000000001,0.1,t5,13.576,2.292,2.2999999999999998,2.06,28.3,2.73,28,16
WIU,GPC,106,116,3,2.4,15.600000000000001,0.1,t8,14.056999999999999,1.763,2.2000000000000002,2.55,37.1,3.39,31.3,30
WIU,GPC,107,101,3,2.4,15.100000000000001,0.1,t1,15.204999999999998,1.984,2.1,2.54,41.4,3.77,46,4
WIU,GPC,108,103,3,2.4,15.399999999999999,0.1,t9,12.823,1.652,2.2000000000000002,2.61,34.7,3.66,36.2,35
WIU,GPC,109,104,3,2.4,15.899999999999999,0.1,t6,13.238,1.45,2.2000000000000002,2.63,42.3,4.2,43.9,20
WIU,GPC,110,106,3,2.4,15.7,0.1,t0,15.472999999999999,2.052,2.2999999999999998,2.43,42.9,3.8,48.9,0
WIU,WPC,111,120,3,2.4,16.2,0.1,t9,14.372,1.548,2,2.31,44.5,2.6,31.8,35
WIU,WPC,112,112,3,2.4,14.8,0.1,t0,14.707999999999998,2.089,2.1,2.665,43.15,3.97,46.8,0
WIU,WPC,113,118,3,2.4,15.7,0.1,t3,15.513000000000002,1.903,2.1,2.11,39.2,NA,NA,8
WIU,WPC,114,110,3,2.4,15.899999999999999,0.1,t4,13.98,NA,2.1,2.5,43,NA,NA,12
WIU,WPC,115,111,3,2.4,14.5,0.1,t7,12.753,1.404,2.2000000000000002,2.22,41.7,4.54,45.1,25
WIU,WPC,116,113,3,2.4,15,0.1,t7,11.359,1.462,2.1,3.07,37.6,3.93,39.3,25
WIU,WPC,117,114,3,2.5,14.700000000000001,0.1,t1,14.906,2.062,2.1,2.48,43.7,3.86,47.4,4
WIU,WPC,118,115,3,2.4,14.5,0.1,t6,10.601,1.668,2.1,3.03,32.5,3.78,35.2,20
WIU,WPC,119,119,3,2.4,14,0.1,t2,13.434,1.846,2.1,2.95,42.4,3.35,46,6
WIU,WPC,120,117,3,2.4,13.7,0.1,t5,11.514,1.685,2,2.74,38.2,2.64,32,16
WIU,AR,121,136,3,2.4,16,0.1,t7,13.412,2.144,2,2.79,29.9,2.35,22.7,25
WIU,AR,122,137,3,2.5,16.2,0.1,t3,15.632,1.927,2.1,2.98,36.6,3.45,39.3,8
WIU,AR,124,138,3,2.4,16,0.1,t2,16.149,1.927,2.2000000000000002,3.08,43.3,3.65,44.2,6
WIU,AR,125,135,3,2.4,15.5,0.1,t1,15.799,2.074,2.1,2.8,43.2,3.48,46.5,4
WIU,AR,126,133,3,2.4,15.7,0.1,t8,10.42,1.593,2.1,2.77,32,3.44,33.8,30
WIU,AR,127,139,3,2.4,15.600000000000001,0.1,t5,14.053,1.573,2.1,2.55,32.5,3.09,31.9,16
WIU,AR,128,134,3,2.4,15.899999999999999,0.1,t6,12.949,1.598,2.2000000000000002,2.97,38.6,3.77,39.3,20
WIU,AR,129,140,3,2.4,15.8,0.1,t4,13.507000000000001,1.798,2.1,3.09,40.5,3.25,34.5,12
WIU,AR,130,131,3,2.4,15.7,0.1,t0,13.974,1.994,2.1,2.5275,41.9,4.18,49.025,0
WIU,CR,131,141,3,2.4,16,0.1,t8,13.382,1.22,2.1,1.93,40.5,4.27,41.4,30
WIU,CR,132,143,3,2.4,15.5,0.1,t9,12.671,1.261,2.2999999999999998,2.01,36.2,3.95,40,35
WIU,CR,133,148,3,2.4,15.5,0.1,t3,14.383,1.538,2.2000000000000002,1.85,35.5,4.26,47.5,8
WIU,CR,134,144,3,2.4,16.2,0.1,t7,13.347,1.348,2.2000000000000002,2.17,35.4,4.14,42.4,25
WIU,CR,135,145,3,2.4,15.7,0.1,t4,13.75,1.352,2.1,1.95,40.9,4.11,44.6,12
