location,crop,plot,block,number,bag_no,series_no,tea_id,tea_initial_drywt_g,tea_final_drywt_g,notes
NA,wpc,NA,4,4,NA,NA,154,2.2000000000000002,NA,NA
wiu,wpc,20,4,5,158,8,155,2.2000000000000002,1.529,NA
wiu,wpc,20,4,6,160,10,156,2.1,1.712,NA
wiu,wpc,20,4,7,157,7,157,2.2999999999999998,1.585,NA
wiu,wpc,20,4,8,156,6,158,2,1.874,NA
wiu,wpc,20,4,9,154,4,159,2.2000000000000002,1.422,NA
wiu,wpc,20,4,10,155,5,160,2.2000000000000002,1.971,NA
NA,ar,NA,4,1,NA,NA,161,2.2000000000000002,NA,NA
wiu,ar,21,4,2,162,2,162,2.2000000000000002,1.92,NA
wiu,ar,21,4,3,169,9,163,2.2000000000000002,1.983,NA
wiu,ar,21,4,4,164,4,164,2.1,1.918,NA
wiu,ar,21,4,4,168,8,164,2.1,1.613,NA
NA,ar,NA,4,5,NA,NA,165,2.1,NA,NA
wiu,ar,21,4,6,165,5,166,2.1,1.919,NA
wiu,ar,21,4,7,166,6,167,2.2000000000000002,2.064,NA
wiu,ar,21,4,8,167,7,168,2.2999999999999998,2.118,NA
NA,ar,NA,4,9,NA,NA,169,2.2000000000000002,NA,NA
NA,ar,NA,4,10,NA,NA,170,2.1,NA,NA
wiu,pcro,24,4,1,193,3,171,2,1.542,NA
wiu,pcro,24,4,2,196,6,172,2,1.463,NA
wiu,pcro,24,4,3,195,5,173,2,2.003,NA
NA,pcro,NA,4,4,NA,NA,174,2.1,NA,NA
NA,pcro,NA,4,5,NA,NA,175,2,NA,NA
wiu,pcro,24,4,6,197,7,176,2,1.793,NA
NA,pcro,NA,4,7,NA,NA,177,22,NA,NA
wiu,pcro,24,4,8,198,8,178,2.1,1.734,NA
wiu,pcro,24,4,9,192,2,179,x,1.43,forgot to measure probably 2
wiu,pcro,24,4,10,194,4,180,x,1.546,forgot to measure probably 2
wiu,cr,22,4,1,175,5,181,2,1.048,NA
wiu,cr,22,4,2,176,6,182,2.1,2.075,NA
wiu,cr,22,4,3,177,7,183,2,1.935,NA
wiu,cr,22,4,4,180,10,184,2.1,1.149,NA
wiu,cr,22,4,5,172,2,185,2.1,1.344,NA
wiu,cr,22,4,5,179,9,185,2.1,1.157,NA
NA,cr,NA,4,6,NA,NA,186,2,NA,NA
wiu,cr,22,4,7,174,4,187,2,1.484,NA
wiu,cr,22,4,8,178,8,188,2.1,1.179,NA
wiu,cr,22,4,9,171,1,189,2.1,1.798,NA
wiu,cr,22,4,10,173,3,190,2,1.166,NA
wiu,gpc,23,4,1,182,2,191,2,1.381,NA
NA,gpc,NA,4,2,NA,NA,192,2.2000000000000002,NA,NA
wiu,gpc,23,4,3,181,1,193,2,1.639,NA
wiu,gpc,23,4,4,190,10,194,2.2000000000000002,0.742,NA
wiu,gpc,23,4,5,186,6,195,2.1,2.065,NA
wiu,gpc,23,4,6,185,5,196,2.1,1.487,NA
wiu,gpc,23,4,7,184,4,197,2.2999999999999998,2.215,NA
wiu,gpc,23,4,8,187,7,198,2.2000000000000002,1.44,NA
wiu,gpc,23,4,9,183,3,199,2.1,1.423,NA
wiu,gpc,23,4,10,188,8,200,2,1.803,NA
NA,NA,NA,NA,1,NA,NA,201,2.1,NA,NA
NA,NA,NA,NA,2,NA,NA,202,2.1,NA,NA
NA,NA,NA,NA,3,NA,NA,203,2.2000000000000002,NA,NA
NA,NA,NA,NA,4,NA,NA,204,2.1,NA,NA
NA,NA,NA,NA,5,NA,NA,205,2.1,NA,NA
NA,NA,NA,NA,6,NA,NA,206,2.1,NA,NA
NA,NA,NA,NA,7,NA,NA,207,2.1,NA,NA
NA,NA,NA,NA,8,NA,NA,208,2.2000000000000002,NA,NA
NA,NA,NA,NA,9,NA,NA,209,2.1,NA,NA
NA,NA,NA,NA,10,NA,NA,210,2.1,NA,NA
NA,NA,NA,NA,1,NA,NA,211,2.1,NA,NA
NA,NA,NA,NA,2,NA,NA,212,2.1,NA,NA
NA,NA,NA,NA,3,NA,NA,213,2.1,NA,NA
NA,NA,NA,NA,4,NA,NA,214,2.1,NA,NA
NA,NA,NA,NA,5,NA,NA,215,2.1,NA,NA
NA,NA,NA,NA,6,NA,NA,216,2.2000000000000002,NA,NA
NA,NA,NA,NA,7,NA,NA,217,2.1,NA,NA
NA,NA,NA,NA,8,NA,NA,218,2.1,NA,NA
NA,NA,NA,NA,9,NA,NA,219,2.1,NA,NA
NA,NA,NA,NA,10,NA,NA,220,2.1,NA,NA
NA,NA,NA,NA,1,NA,NA,221,2.1,NA,NA
NA,NA,NA,NA,2,NA,NA,222,2.1,NA,NA
NA,NA,NA,NA,3,NA,NA,223,2.2999999999999998,NA,NA
NA,NA,NA,NA,4,NA,NA,224,2.1,NA,NA
NA,NA,NA,NA,5,NA,NA,225,2.1,NA,NA
NA,NA,NA,NA,6,NA,NA,226,2.2000000000000002,NA,NA
NA,NA,NA,NA,7,NA,NA,227,2.1,NA,NA
NA,NA,NA,NA,8,NA,NA,228,2.1,NA,NA
NA,NA,NA,NA,9,NA,NA,229,2,NA,NA
NA,NA,NA,NA,10,NA,NA,230,2.1,NA,NA
NA,NA,NA,NA,1,NA,NA,231,2.1,NA,NA
NA,NA,NA,NA,2,NA,NA,232,2.1,NA,NA
NA,NA,NA,NA,3,NA,NA,233,2.1,NA,NA
NA,NA,NA,NA,4,NA,NA,234,2,NA,NA
NA,NA,NA,NA,5,NA,NA,235,2,NA,NA
NA,NA,NA,NA,6,NA,NA,236,2.1,NA,NA
NA,NA,NA,NA,7,NA,NA,237,2.2000000000000002,NA,NA
NA,NA,NA,NA,8,NA,NA,238,2.1,NA,NA
NA,NA,NA,NA,9,NA,NA,239,2,NA,NA
NA,NA,NA,NA,10,NA,NA,240,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,241,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,242,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,243,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,244,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,245,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,246,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,247,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,248,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,249,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,250,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,251,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,252,2.5,NA,NA
NA,NA,NA,NA,NA,NA,NA,253,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,254,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,255,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,256,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,257,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,258,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,259,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,260,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,261,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,262,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,263,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,264,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,265,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,266,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,267,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,268,2.4,NA,NA
NA,NA,NA,NA,NA,NA,NA,269,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,270,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,271,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,272,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,273,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,274,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,275,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,276,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,277,2.5,NA,NA
NA,NA,NA,NA,NA,NA,NA,278,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,279,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,280,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,281,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,282,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,283,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,284,2.2999999999999998,NA,284
NA,NA,NA,NA,NA,NA,NA,285,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,286,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,287,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,288,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,289,2.4,NA,NA
NA,NA,NA,NA,NA,NA,NA,290,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,291,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,292,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,293,2.1,NA,2.048
NA,NA,NA,NA,NA,NA,NA,294,2.4,NA,NA
NA,NA,NA,NA,NA,NA,NA,295,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,296,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,297,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,298,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,299,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,300,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,301,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,302,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,303,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,304,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,305,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,306,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,307,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,308,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,309,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,310,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,311,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,312,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,313,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,314,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,315,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,316,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,317,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,318,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,319,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,320,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,321,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,322,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,323,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,324,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,325,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,326,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,327,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,328,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,329,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,330,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,331,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,332,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,333,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,334,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,335,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,336,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,337,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,338,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,339,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,340,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,341,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,342,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,343,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,344,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,345,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,346,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,347,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,348,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,349,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,350,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,351,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,352,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,353,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,354,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,355,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,356,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,357,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,358,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,359,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,360,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,361,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,362,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,363,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,364,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,365,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,366,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,367,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,368,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,369,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,370,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,371,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,372,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,373,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,374,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,375,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,376,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,377,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,378,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,379,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,380,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,381,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,382,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,383,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,384,2.4,NA,NA
NA,NA,NA,NA,NA,NA,NA,385,2.4,NA,NA
NA,NA,NA,NA,NA,NA,NA,386,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,387,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,388,2.2999999999999998,NA,NA
NA,NA,NA,NA,NA,NA,NA,389,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,390,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,391,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,392,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,393,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,394,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,395,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,396,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,397,1.9,NA,NA
NA,NA,NA,NA,NA,NA,NA,398,2.2000000000000002,NA,NA
NA,NA,NA,NA,NA,NA,NA,399,2.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,400,2.2000000000000002,NA,NA
wiu,wpc,3,1,NA,11,1,NA,NA,NA,NA
wiu,wpc,3,1,NA,13,3,NA,NA,NA,NA
wiu,cr,5,1,NA,38,8,NA,NA,NA,NA
wiu,ar,6,1,NA,42,2,81,NA,1.338,NA
wiu,ar,6,1,NA,45,5,2.017,NA,NA,NA
wiu,ar,6,1,NA,46,6,NA,NA,NA,NA
wiu,ar,6,1,NA,50,10,51,NA,1.513,NA
wiu,wpc,7,2,NA,52,2,22,NA,1.856,NA
wiu,wpc,7,2,NA,54,4,68,NA,1.961,NA
wiu,wpc,7,2,NA,59,9,NA,NA,NA,NA
wiu,wpc,7,2,NA,60,10,NA,NA,NA,NA
wiu,cr,8,2,NA,62,2,NA,NA,NA,NA
